Reporting-starts,Reporting-ends,Ad-name,Platform,Placement,Impressions,Clicks,CPC,CTR,Leads,CPL,Spent
2025-01-01,2026-01-01,FB — 10,Facebook,Feed,3,0,0.00,0.00%,,,0.03
2025-01-01,2026-01-01,FB — 10,Facebook,In-stream reels,2,0,0.00,0.00%,,,0.00
2025-01-01,2026-01-01,FB — 10,Facebook,In-stream reels,25,0,0.00,0.00%,,,0.06
2025-01-01,2026-01-01,FB — 10,Facebook,Search results,1,0,0.00,0.00%,,,0.00
2025-01-01,2026-01-01,FB — 10,Instagram,Feed,4,0,0.00,0.00%,,,0.02
2025-01-01,2026-01-01,FB — 10,Instagram,Instagram Reels,2043,80,0.15,3.92%,,,11.94
2025-01-01,2026-01-01,FB — 10,Instagram,Instagram Stories,128,5,0.32,3.91%,,,1.60
2025-01-01,2026-01-01,FB — 10,Messenger,Messenger Stories,46,0,0.00,0.00%,,,0.00
2025-01-01,2026-01-01,FB — 11,Facebook,Business Explore,3,0,0.00,0.00%,,,0.00
2025-01-01,2026-01-01,FB — 11,Facebook,Facebook Reels,2496,135,0.19,5.41%,,,25.69
2025-01-01,2026-01-01,FB — 11,Facebook,Ads on Facebook Reels,1230,20,0.16,1.63%,,,3.10
